"ssoid","create_time","evaluation_id","evaluation_type","ex","ey","time"
"1134605055","2025-09-18 14:52:51.000","224287","0","123.25","203","2025-09-18 14:52:27:549"
"1134605055","2025-09-18 14:52:51.000","224287","0","121.6878","194.7591","2025-09-18 14:52:27:900"
"1134605055","2025-09-18 14:52:51.000","224287","0","122.3538","192.4902","2025-09-18 14:52:27:915"
"1134605055","2025-09-18 14:52:51.000","224287","0","123.2083","190.0833","2025-09-18 14:52:27:933"
"1134605055","2025-09-18 14:52:51.000","224287","0","124.0449","188.1296","2025-09-18 14:52:27:950"
"1134605055","2025-09-18 14:52:51.000","224287","0","124.9342","186.432","2025-09-18 14:52:27:965"
"1134605055","2025-09-18 14:52:51.000","224287","0","125.8223","185.1777","2025-09-18 14:52:27:987"
"1134605055","2025-09-18 14:52:51.000","224287","0","126.6182","183.9417","2025-09-18 14:52:27:997"
"1134605055","2025-09-18 14:52:51.000","224287","0","127.3011","182.9235","2025-09-18 14:52:28:015"
"1134605055","2025-09-18 14:52:51.000","224287","0","128.6973","181.057","2025-09-18 14:52:28:031"
"1134605055","2025-09-18 14:52:51.000","224287","0","129.9238","179.1143","2025-09-18 14:52:28:049"
"1134605055","2025-09-18 14:52:51.000","224287","0","131.3844","176.6149","2025-09-18 14:52:28:065"
"1134605055","2025-09-18 14:52:51.000","224287","0","132.9955","173.5918","2025-09-18 14:52:28:082"
"1134605055","2025-09-18 14:52:51.000","224287","0","134.6462","170.8034","2025-09-18 14:52:28:098"
"1134605055","2025-09-18 14:52:51.000","224287","0","135.9652","168.6221","2025-09-18 14:52:28:116"
"1134605055","2025-09-18 14:52:51.000","224287","0","137.4509","166.8021","2025-09-18 14:52:28:132"
"1134605055","2025-09-18 14:52:51.000","224287","0","139.655","165.0651","2025-09-18 14:52:28:149"
"1134605055","2025-09-18 14:52:51.000","224287","0","143.277","162.7025","2025-09-18 14:52:28:166"
"1134605055","2025-09-18 14:52:51.000","224287","0","147.3516","160.7849","2025-09-18 14:52:28:183"
"1134605055","2025-09-18 14:52:51.000","224287","0","151.0036","158.8249","2025-09-18 14:52:28:199"
"1134605055","2025-09-18 14:52:51.000","224287","0","153.3705","157.2894","2025-09-18 14:52:28:216"
"1134605055","2025-09-18 14:52:51.000","224287","0","155.29","155.7513","2025-09-18 14:52:28:232"
"1134605055","2025-09-18 14:52:51.000","224287","0","156.6051","154.4238","2025-09-18 14:52:28:249"
"1134605055","2025-09-18 14:52:51.000","224287","0","157.9238","152.6901","2025-09-18 14:52:28:266"
"1134605055","2025-09-18 14:52:51.000","224287","0","159.2773","151.1507","2025-09-18 14:52:28:283"
"1134605055","2025-09-18 14:52:51.000","224287","0","160.2754","149.7077","2025-09-18 14:52:28:299"
"1134605055","2025-09-18 14:52:51.000","224287","0","161.1618","148.3695","2025-09-18 14:52:28:316"
"1134605055","2025-09-18 14:52:51.000","224287","0","161.6611","147.0941","2025-09-18 14:52:28:332"
"1134605055","2025-09-18 14:52:51.000","224287","0","162.3574","146.1722","2025-09-18 14:52:28:350"
"1134605055","2025-09-18 14:52:51.000","224287","0","162.8848","145.4648","2025-09-18 14:52:28:366"
"1134605055","2025-09-18 14:52:51.000","224287","0","163.4137","144.6712","2025-09-18 14:52:28:385"
"1134605055","2025-09-18 14:52:51.000","224287","0","163.7621","144.1546","2025-09-18 14:52:28:398"
"1134605055","2025-09-18 14:52:51.000","224287","0","164.2194","143.6973","2025-09-18 14:52:28:418"
"1134605055","2025-09-18 14:52:51.000","224287","0","164.7455","143.1712","2025-09-18 14:52:28:433"
"1134605055","2025-09-18 14:52:51.000","224287","0","165.2204","142.7796","2025-09-18 14:52:28:451"
"1134605055","2025-09-18 14:52:51.000","224287","0","165.9561","142.0439","2025-09-18 14:52:28:466"
"1134605055","2025-09-18 14:52:51.000","224287","0","166.5817","141.335","2025-09-18 14:52:28:485"
"1134605055","2025-09-18 14:52:51.000","224287","0","167.377","140.4564","2025-09-18 14:52:28:500"
"1134605055","2025-09-18 14:52:51.000","224287","0","168.248","139.6686","2025-09-18 14:52:28:518"
"1134605055","2025-09-18 14:52:51.000","224287","0","169.0417","139","2025-09-18 14:52:28:533"
"1134605055","2025-09-18 14:52:51.000","224287","0","169.876","138.2598","2025-09-18 14:52:28:555"
"1134605055","2025-09-18 14:52:51.000","224287","0","170.4736","137.8464","2025-09-18 14:52:28:566"
"1134605055","2025-09-18 14:52:51.000","224287","0","171.0036","137.3298","2025-09-18 14:52:28:585"
"1134605055","2025-09-18 14:52:51.000","224287","0","171.4294","136.8083","2025-09-18 14:52:28:600"
"1134605055","2025-09-18 14:52:51.000","224287","0","171.8073","136.5547","2025-09-18 14:52:28:619"
"1134605055","2025-09-18 14:52:51.000","224287","0","172.0417","136.2917","2025-09-18 14:52:28:633"
"1134605055","2025-09-18 14:52:51.000","224287","0","172.3643","136.0261","2025-09-18 14:52:28:652"
"1134605055","2025-09-18 14:52:51.000","224287","0","172.6527","135.8333","2025-09-18 14:52:28:668"
"1134605055","2025-09-18 14:52:51.000","224287","0","172.75","135.582","2025-09-18 14:52:28:685"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.0156","135.3177","2025-09-18 14:52:28:700"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.2858","135.1312","2025-09-18 14:52:28:718"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.4167","134.875","2025-09-18 14:52:28:733"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.5752","134.7581","2025-09-18 14:52:28:752"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.7083","134.625","2025-09-18 14:52:28:766"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.6667","134.5833","2025-09-18 14:52:28:852"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.75","134.5","2025-09-18 14:52:28:884"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.75","134.4167","2025-09-18 14:52:28:901"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.75","134.3236","2025-09-18 14:52:28:918"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.75","134.25","2025-09-18 14:52:29:151"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.8333","134.25","2025-09-18 14:52:29:402"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.9167","134.25","2025-09-18 14:52:29:436"
"1134605055","2025-09-18 14:52:51.000","224287","0","174","134.25","2025-09-18 14:52:29:453"
"1134605055","2025-09-18 14:52:51.000","224287","0","174.2568","134.25","2025-09-18 14:52:29:486"
"1134605055","2025-09-18 14:52:51.000","224287","0","174.5361","134.25","2025-09-18 14:52:29:621"
"1134605055","2025-09-18 14:52:51.000","224287","0","174.9307","134.3333","2025-09-18 14:52:29:637"
"1134605055","2025-09-18 14:52:51.000","224287","0","175.3779","134.3333","2025-09-18 14:52:29:654"
"1134605055","2025-09-18 14:52:51.000","224287","0","175.6582","134.3333","2025-09-18 14:52:29:670"
"1134605055","2025-09-18 14:52:51.000","224287","0","175.93","134.3333","2025-09-18 14:52:29:686"
"1134605055","2025-09-18 14:52:51.000","224287","0","176.2751","134.5251","2025-09-18 14:52:29:702"
"1134605055","2025-09-18 14:52:51.000","224287","0","176.5365","134.7031","2025-09-18 14:52:29:719"
"1134605055","2025-09-18 14:52:51.000","224287","0","176.7917","134.75","2025-09-18 14:52:29:736"
"1134605055","2025-09-18 14:52:51.000","224287","0","177.0648","134.9167","2025-09-18 14:52:29:753"
"1134605055","2025-09-18 14:52:51.000","224287","0","177.3324","135.0833","2025-09-18 14:52:29:770"
"1134605055","2025-09-18 14:52:51.000","224287","0","177.5918","135.3418","2025-09-18 14:52:29:786"
"1134605055","2025-09-18 14:52:51.000","224287","0","177.9401","135.8802","2025-09-18 14:52:29:803"
"1134605055","2025-09-18 14:52:51.000","224287","0","178.2028","137.1331","2025-09-18 14:52:29:820"
"1134605055","2025-09-18 14:52:51.000","224287","0","178.1996","139.5062","2025-09-18 14:52:29:837"
"1134605055","2025-09-18 14:52:51.000","224287","0","177.7887","143.5244","2025-09-18 14:52:29:853"
"1134605055","2025-09-18 14:52:51.000","224287","0","176.6986","147.3981","2025-09-18 14:52:29:871"
"1134605055","2025-09-18 14:52:51.000","224287","0","175.8128","150.915","2025-09-18 14:52:29:886"
"1134605055","2025-09-18 14:52:51.000","224287","0","174.6367","154.166","2025-09-18 14:52:29:903"
"1134605055","2025-09-18 14:52:51.000","224287","0","173.8018","156.64","2025-09-18 14:52:29:920"
"1134605055","2025-09-18 14:52:51.000","224287","0","172.8294","159.4281","2025-09-18 14:52:29:937"
